Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-26T09:46:48.006Z,,55.216396,24.978531,70.9,0.0,66.3,63,13.46,21.60,84,0,91,23.5,52.1,1003.7,593
2026-06-26T09:47:48.006Z,,55.217983,24.955830,70.9,0.0,66.3,63,13.46,19.40,55,0,91,23.5,52.0,1005.5,579
2026-06-26T09:48:29.805Z,,55.217983,24.955830,70.9,0.0,66.3,63,13.46,19.40,55,0,91,23.5,52.0,1005.5,579
2026-06-26T09:49:30.453Z,,55.217983,24.955830,70.9,0.0,66.3,63,13.46,19.40,55,0,91,23.5,52.0,1005.5,579
2026-06-26T13:34:42.929Z,,55.217983,24.955830,70.9,0.0,66.3,63,13.46,19.40,55,0,91,23.5,52.0,1005.5,579
2026-06-26T13:35:49.805Z,,54.938694,23.890522,70.9,0.0,66.3,63,13.46,19.40,55,0,91,50.0,39.8,1011.2,579
2026-06-26T13:36:49.805Z,,54.938683,23.890594,70.9,0.0,66.3,63,13.46,19.40,55,0,91,50.0,39.9,1011.2,579
2026-06-26T13:37:28.287Z,,54.938747,23.890537,70.9,0.0,66.3,99,13.59,17.70,73,0,90,50.0,39.8,1011.3,557
2026-06-26T13:38:38.287Z,,54.938713,23.890537,70.9,0.0,66.3,99,13.59,17.70,73,0,90,28.5,39.7,1011.2,557
2026-06-26T13:39:38.452Z,,54.938644,23.890631,70.9,0.0,66.3,99,13.59,17.70,73,0,90,28.5,39.7,1011.2,557
2026-06-26T17:10:03.030Z,,54.950691,24.038961,70.9,0.0,66.3,102,13.42,1.50,80,0,90,29.1,46.9,1010.9,618
