Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-20T06:35:17.195Z,,55.187614,25.789532,70.9,0.0,66.3,65,13.12,-0.80,81,0,94,43.0,74.4,1006.1,331
2026-06-20T06:36:17.551Z,,55.187614,25.789532,70.9,0.0,66.3,65,13.12,-0.80,81,0,94,22.1,73.7,1006.2,331
2026-06-20T07:15:28.440Z,,55.187614,25.789532,70.9,0.0,66.3,65,13.12,-0.80,81,0,94,24.3,68.4,1006.0,331
2026-06-20T11:42:49.666Z,,55.187637,25.789671,70.9,0.0,66.3,65,13.12,-0.80,81,0,94,22.2,57.2,1002.6,331
