Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-25T07:33:39.236Z,,0.000000,0.000000,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,20.8,64.4,997.2,333
2026-06-25T11:23:32.352Z,,55.195454,25.789085,70.9,0.0,66.3,46,13.27,0.10,59,0,90,22.3,60.2,998.7,338
2026-06-25T11:24:42.349Z,,0.000000,0.000000,70.9,0.0,66.3,46,13.27,0.10,59,0,90,22.4,61.1,998.5,338
2026-06-25T13:48:00.825Z,,0.000000,0.000000,70.9,0.0,66.3,46,13.27,0.10,59,0,90,46.0,57.0,998.5,338
