Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-18T09:01:26.412Z,,55.724686,24.360666,70.9,0.0,66.3,94,13.48,2.70,78,0,93,14.8,70.7,1008.3,359
2026-06-18T09:56:56.182Z,,55.724926,24.360970,70.9,0.0,66.3,99,14.43,-0.10,78,0,95,29.7,49.5,1008.2,340
2026-06-18T09:58:06.177Z,,55.724926,24.360970,70.9,0.0,66.3,99,14.43,-0.10,78,0,95,29.7,49.5,1008.2,340
2026-06-18T09:59:06.875Z,,55.724926,24.360970,70.9,0.0,66.3,99,14.43,-0.10,78,0,95,29.7,49.5,1008.2,340
2026-06-18T10:20:07.652Z,,55.724926,24.360970,70.9,0.0,66.3,99,14.43,-0.10,78,0,95,29.7,49.5,1008.2,340
2026-06-18T13:06:08.262Z,,55.187653,25.789776,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,23.0,50.2,997.8,443
2026-06-18T13:07:08.872Z,,55.187672,25.789513,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,22.9,49.9,997.9,443
2026-06-18T13:11:32.172Z,,55.187607,25.789562,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,48.0,48.2,997.9,443
2026-06-18T14:38:08.720Z,,55.187675,25.789562,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,46.0,52.9,998.1,443
2026-06-18T14:39:08.873Z,,55.187675,25.789562,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,23.8,56.1,998.1,443
2026-06-18T14:58:47.747Z,,55.187675,25.789562,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,21.1,57.6,998.2,443
2026-06-18T20:02:57.783Z,,0.000000,0.000000,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,21.0,62.0,998.8,443
2026-06-18T20:04:07.782Z,,0.000000,0.000000,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,21.2,62.4,998.8,443
2026-06-18T20:05:08.551Z,,0.000000,0.000000,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,21.2,62.2,998.8,443
2026-06-19T05:02:40.972Z,,0.000000,0.000000,70.9,0.0,66.3,99,13.74,-1.50,69,0,94,44.0,62.5,998.9,443
