Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-22T07:13:41.785Z,,0.000000,0.000000,70.9,0.0,66.3,13,12.64,-0.60,70,0,92,47.0,68.1,1003.2,2681
2026-06-22T08:52:15.324Z,,55.195301,25.789076,70.9,0.0,66.3,21,13.01,5.90,71,0,95,24.0,66.5,1002.9,375
2026-06-22T08:53:06.456Z,,0.000000,0.000000,70.9,0.0,66.3,21,13.01,5.90,71,0,95,47.0,61.4,1003.0,375
2026-06-22T08:54:16.453Z,,0.000000,0.000000,70.9,0.0,66.3,21,13.01,5.90,71,0,95,25.0,61.5,1003.0,375
2026-06-22T08:55:16.453Z,,0.000000,0.000000,70.9,0.0,66.3,21,13.01,5.90,71,0,95,25.1,61.7,1002.9,375
2026-06-22T08:56:16.453Z,,0.000000,0.000000,70.9,0.0,66.3,21,13.01,5.90,71,0,95,25.1,62.5,1002.9,375
2026-06-22T20:26:47.227Z,,55.195351,25.789265,70.9,0.0,66.3,34,13.11,-0.80,66,0,92,24.3,54.9,1001.6,340
