Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-26T09:46:48.006Z,,55.216396,24.978531,70.9,0.0,66.3,63,13.46,21.60,84,0,91,23.5,52.1,1003.7,593
2026-06-26T09:47:48.006Z,,55.217983,24.955830,70.9,0.0,66.3,63,13.46,19.40,55,0,91,23.5,52.0,1005.5,579
2026-06-26T09:48:29.805Z,,55.217983,24.955830,70.9,0.0,66.3,63,13.46,19.40,55,0,91,23.5,52.0,1005.5,579
2026-06-26T09:49:30.453Z,,55.217983,24.955830,70.9,0.0,66.3,63,13.46,19.40,55,0,91,23.5,52.0,1005.5,579
2026-06-26T13:34:42.929Z,,55.217983,24.955830,70.9,0.0,66.3,63,13.46,19.40,55,0,91,23.5,52.0,1005.5,579
