Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-24T09:01:07.778Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,44.0,52.4,1000.6,333
2026-06-24T09:59:41.741Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,44.0,63.3,1000.5,333
2026-06-24T10:00:51.740Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,44.0,63.8,1000.6,333
2026-06-24T10:01:44.820Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,44.0,63.8,1000.6,333
2026-06-24T10:02:44.820Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,44.0,63.9,1000.6,333
2026-06-24T10:03:54.820Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,44.0,64.2,1000.6,333
2026-06-24T10:04:54.820Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,44.0,64.3,1000.6,333
2026-06-24T10:18:40.736Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,44.0,65.6,1000.5,333
2026-06-24T11:56:47.022Z,,55.195267,25.789276,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,45.0,61.3,999.6,333
2026-06-24T15:34:22.850Z,,55.195187,25.789312,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,45.0,62.4,997.7,333
2026-06-24T20:12:36.847Z,,0.000000,0.000000,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,20.8,65.2,997.2,333
