Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-23T06:23:45.829Z,,55.195656,25.789127,70.9,0.0,66.3,34,13.11,-0.80,66,0,92,44.0,66.1,1002.1,340
2026-06-23T06:24:43.096Z,,55.195656,25.789127,70.9,0.0,66.3,34,13.11,-0.80,66,0,92,44.0,65.5,1002.1,340
2026-06-23T06:26:32.608Z,,55.195656,25.789127,70.9,0.0,66.3,34,13.11,-0.80,66,0,92,22.1,65.7,1002.1,340
2026-06-23T09:21:15.156Z,,55.195362,25.789433,70.9,0.0,66.3,34,13.11,-0.80,66,0,92,47.0,49.5,1001.9,340
2026-06-23T14:54:40.382Z,,55.195343,25.789265,70.9,0.0,66.3,43,13.21,-0.40,66,0,92,24.3,52.6,1001.3,333
